ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,extra_regressors_multiplicative,Volume_lag1_effect,EMA_lag1_effect,y,Volume,EMA,Volume_lag1,EMA_lag1,y_change,direction
2019-12-11,397.9678657357109,380.61897440666104,415.7318026663885,100.8652236792676,2.7050603566701836,-0.010024266336822837,0.25050481285418075,-0.000767235735331712,0.2512720485895124,371.25,128564,383.4575959325831,98921.0,383.5802853389407,-5.75,0
2019-12-12,396.2200869131761,378.49271210771843,413.56530882835136,81.40004277955478,3.5398938199969305,-0.034553991698382726,0.3622262488619732,0.00015851741644362164,0.36206773144552956,377.75,171860,383.4008039332539,128564.0,383.4575959325831,6.5,1
2019-12-13,396.165313297354,379.17901694410057,414.6828905892514,81.37868564617148,3.5361190487360914,-0.03691588488047459,0.3689672932079385,-0.00021863160505615056,0.3691859248129946,381.0,230831,383.3769153369031,171860.0,383.4008039332539,3.25,1
2019-12-16,395.12016185487033,376.13984817705995,414.5917024320911,84.59466121907819,3.3662650248657604,-0.050304618975898746,0.35478543268748935,-0.0009744094818848188,0.3557598421693742,388.0,180896,383.422916179322,230831.0,383.3769153369031,7.0,1
2019-12-17,393.47105020795186,374.80932981570373,410.28874854511986,66.44162099801702,4.508554980298024,-0.0989626398329298,0.5124644109753206,-0.0008922111587731813,0.5133566221340937,390.0,118236,383.4883597994282,180896.0,383.422916179322,2.0,1
2019-12-18,393.8654044081328,375.71686993385435,412.8712086278203,76.98684958188389,3.7762561089815883,-0.0777933701666006,0.41754611915515416,0.0010349643925930045,0.4165111547625611,387.0,125534,383.5233014929663,118236.0,383.4883597994282,-3.0,0
2019-12-19,392.8956434566829,374.84981956734,409.86206515086957,72.87984574244466,4.028009699994852,-0.09356484841070091,0.45656056910739506,0.0014397881228393604,0.4551207809845557,386.5,99129,383.5529203835835,125534.0,383.5233014929663,-0.5,0
2019-12-20,392.9535327905544,375.6434015183383,410.985814337636,80.85396172404894,3.5451524753539663,-0.08154852663390089,0.39643660354981286,0.001607282086802715,0.39482932146301014,387.75,85326,383.5946823698165,99129.0,383.5529203835835,1.25,1
2019-12-23,391.912589486338,373.29633925480994,411.7028476644295,63.33513814829611,4.759087194389798,-0.13713062974374726,0.5659606159985068,0.004312202444577048,0.5616484135539298,388.75,82257,383.6459790626541,85326.0,383.5946823698165,1.0,1
2019-12-24,390.56056735562026,371.22448358059114,408.5533295148226,66.7859350994334,4.484847324748007,-0.15024216744090046,0.5133412220336788,0.005376465580428138,0.5079647564532507,387.5,50416,383.6843275296924,82257.0,383.6459790626541,-1.25,0
2019-12-26,389.7794258965692,371.30617407176504,409.186085272874,92.66997801636074,3.0052962099977876,-0.10663442020574117,0.3074407068304762,0.0015126776161530438,0.30592802921432316,388.5,49930,383.7322446687005,50416.0,383.6843275296924,1.0,1
2019-12-27,389.93049615745804,371.81330766097994,409.3166874316332,92.33805618460836,3.006189508423045,-0.11104995187671488,0.3277184098146167,0.0029391945755500274,0.32477921523906667,390.0,85213,383.79461039339,49930.0,383.7322446687005,1.5,1
2019-12-30,389.55835448689743,369.6221762775628,409.28207570079024,84.4494154968249,3.368596948957663,-0.1337935686717226,0.3781161076120419,0.002578071489243766,0.3755380361227982,388.25,123528,383.8389426282816,85213.0,383.79461039339,-1.75,0
2019-12-31,389.4906781785356,370.01101365208194,409.2362428759181,83.10483893397016,3.4478572650497,-0.1389913383345301,0.3778729343997669,0.0014546420422764984,0.3764182923574904,387.75,85103,383.8778586220301,123528.0,383.8389426282816,-0.5,0
2020-01-02,388.81011768431495,369.1952664678602,409.4445631130008,85.69945559200457,3.313076109996203,-0.1409897163606993,0.36481661232232476,0.0028013620274379256,0.36201525029488685,391.5,103987,383.953700824796,85103.0,383.8778586220301,3.75,1
2020-01-03,388.9885606062521,370.0505844040432,409.72643394940354,81.82093475420771,3.519959464210355,-0.14382101216065085,0.37800621489628317,0.0013861298487029675,0.3766200850475802,386.5,125931,383.979037134997,103987.0,383.953700824796,-5.0,0
2020-01-06,389.9354924747448,371.82451742060107,411.5083619501969,79.65679159506811,3.656396681282479,-0.1485180481644019,0.3873159217538434,0.0016216025800316269,0.38569431917381175,384.75,112130,383.9867084072856,125931.0,383.979037134997,-1.75,0
2020-01-07,388.3908688279075,368.447479315099,407.99866264561183,61.151661770228095,5.066772222942646,-0.22193909280756696,0.506439387809756,0.0033799387938252042,0.5030594490159307,384.5,93541,383.9918157863176,112130.0,383.9867084072856,-0.25,0
2020-01-08,389.8587815644931,369.81651419967295,411.1282569926955,79.61410933314158,3.6885153666532084,-0.15109295727298563,0.3594329951454611,0.0036453464813851542,0.355787648664076,384.25,135523,383.9943847834687,93541.0,383.9918157863176,-0.25,0
2020-01-09,388.44282678069607,369.33240850885176,409.08326315951143,80.60964487663757,3.6582904999994486,-0.15529741008967318,0.31582018454586325,0.0013642897415764002,0.3144558948042869,383.25,130937,383.9869779697028,135523.0,383.9943847834687,-1.0,0
2020-01-10,389.0300864763329,369.3419291204698,410.0706806601223,109.4897786911344,2.4697892454815285,-0.10624360001981988,0.18957219920732427,0.0012110095594604772,0.1883611896478638,385.75,226659,384.004520477467,130937.0,383.9869779697028,2.5,1
2020-01-13,390.38749302565503,368.6864231746895,411.6605892683442,89.3164229080844,3.2483355435849823,-0.11743356312166313,0.239934650862625,-0.004025086477361987,0.243959737339987,389.5,139994,384.0592018657509,226659.0,384.004520477467,3.75,1
2020-01-14,390.6568329478706,369.75742191023807,409.5615446993261,108.8494172246245,2.5316589123367033,-0.0939475572028566,0.15125441894743233,0.0008134644743897903,0.15044095447304254,389.0,115957,384.10836403624097,139994.0,384.0592018657509,-0.5,0
2020-01-15,390.4978295047274,368.4080220480895,409.26007130819454,88.36782702476643,3.360015159480499,-0.11828906163779335,0.177278449992159,0.002862632874543486,0.17441581711761553,387.5,141478,384.1421116577709,115957.0,384.10836403624097,-1.5,0
2020-01-16,389.1907198176866,368.4567118394866,409.7362305518163,93.61483314291785,3.158110260002669,-0.1087129817983524,0.1079643999768048,0.0010170310040643086,0.1069473689727405,375.5,230557,384.056120496997,141478.0,384.1421116577709,-12.0,0
2020-01-17,389.808351881446,368.84120155664806,410.59288953340047,84.32243295475702,3.6407392424719767,-0.11217702840387966,0.09426872453393115,-0.004159158259542742,0.09842788279347389,389.25,293121,384.10780089006175,230557.0,384.056120496997,13.75,1
2020-01-21,392.24175322439874,371.7402941083166,411.3599593839198,88.01564901753267,3.489460238566601,-0.07688820931936995,0.043928122745789756,-0.0070839802912559206,0.051012103037045675,387.5,182958,384.1415541150363,293121.0,384.10780089006175,-1.75,0
2020-01-22,391.8234929204515,372.1666802321274,412.69203636931843,90.03848126072005,3.412410156741111,-0.0798318363993948,0.019155376563580028,-0.0012900702154070764,0.020445446778987103,388.75,155603,384.18740929797127,182958.0,384.1415541150363,1.25,1
2020-01-23,390.87368381670393,369.96327126960034,411.3698037038091,97.63469140872459,3.0932271000056963,-0.07225571169850757,-0.01754106884826319,0.00026433704536493085,-0.01780540589362812,393.75,256298,384.2825594542104,155603.0,384.18740929797127,5.0,1
2020-01-24,390.8800397130442,370.8467990136411,411.2378036303856,89.21946903482511,3.560411421767448,-0.06907351400002223,-0.1102309146236797,-0.004195945978593814,-0.10603496864508588,387.25,196121,384.3120862258102,256298.0,384.2825594542104,-6.5,0
2020-01-27,392.13292272121794,372.86090869055846,412.0220038193748,106.47846632443147,2.8060230367773653,-0.054825273961551256,-0.06845385921355976,-0.0015960177091755728,-0.06685784150438419,380.5,264471,384.2741550195833,196121.0,384.3120862258102,-6.75,0
2020-01-28,389.8441361692874,369.67290554340985,408.1105599301839,72.01630818471291,4.854068557169632,-0.07167334660590133,-0.3691194401731484,-0.0032416293154673994,-0.365877810857681,386.5,243266,384.2963027308312,264471.0,384.2741550195833,6.0,1
2020-01-29,389.94206008335493,371.55194279823866,407.9058141046933,91.70953016303334,3.498404458367274,-0.06709093817112798,-0.1793883452426872,-0.0039230718873514035,-0.17546527335533582,384.25,136811,384.29584200714135,243266.0,384.2963027308312,-2.25,0
2020-01-30,388.9079726086349,369.43930176966063,408.4997604694822,87.62196272316729,3.765388000005391,-0.06936643830341375,-0.2575456303039298,0.001379250685346729,-0.2589248809892766,379.5,160206,384.2481221861748,136811.0,384.29584200714135,-4.75,0
2020-01-31,388.3392767547064,368.36459856215794,409.37342956036684,80.48613884441899,4.225617703856443,-0.07996045124463311,-0.32073606332016674,3.4116673056175216e-05,-0.3207701799932229,381.25,151805,384.2182901246208,160206.0,384.2481221861748,1.75,1
2020-02-03,387.59534188480364,368.449111834711,407.5084475256694,87.19758311518375,3.8447997900205335,-0.0742356334223266,-0.32554024609819787,0.0003266352635955617,-0.3258668813617934,378.75,216443,384.1638792776097,151805.0,384.2182901246208,-2.5,0
2020-02-04,384.9456341687841,365.51267071530555,403.5717177362897,90.08594194374395,3.7454593201025874,-0.08631636041184146,-0.3860496682960521,-0.0023732324025274054,-0.3836764358935247,382.25,176002,384.14483570270806,216443.0,384.1638792776097,3.5,1
2020-02-05,384.0995607571664,365.2327620227448,402.53920855971216,87.93586721780297,3.825724312634775,-0.0980824445769023,-0.35969084977981675,-0.0007119966106502616,-0.35897885316916645,380.75,122103,384.1110562429796,176002.0,384.14483570270806,-1.5,0
2020-02-06,383.7979391969159,365.7806349012637,403.51930788040136,92.92282122308231,3.545755319995401,-0.09612284645416867,-0.31934527234313465,0.0017695479765075827,-0.3211148203196422,379.25,191891,384.062687524144,122103.0,384.1110562429796,-1.5,0
